rpm,torque (ftlbs),gearing,clutch ratio,sprocket ratio,weight (kg),shift time (s),coeff. rolling res.
2000,21.69308717,2.75,2.11,3.85,60,0.08,0.025
2500,25.76054102,2,,,,,
3000,28.47217691,1.67,,,,,
3500,29.82799486,1.444,,,,,
4000,29.82799486,1.304,,,,,
4500,23.04890512,1.208,,,,,
5000,18.98145128,,,,,,
5500,27.11635897,,,,,,
6000,35.25126666,,,,,,
6500,36.6070846,,,,,,
7000,39.3187205,,,,,,
7500,42.0303564,,,,,,
8000,46.09781024,,,,,,
8500,51.52108204,,,,,,
9000,52.87689998,,,,,,
9500,51.52108204,,,,,,
10000,50.16526409,,,,,,
10500,48.80944614,,,,,,
11000,47.45362819,,,,,,
11500,44.74199229,,,,,,
12000,43.38617435,,,,,,
12500,42.0303564,,,,,,
13000,40.67453845,,,,,,
13500,39.3187205,,,,,,
14000,37.96290255,,,,,,
14500,36.6070846,,,,,,
15000,36.1214656,,,,,,
15500,35.4193789,,,,,,
16000,35.0174289,,,,,,
