latitude,longitude,altitude,origin point,rotation angle,mirrored,closed
42.067657,-84.240349,297.91152,1,255,1,1
42.067665,-84.240349,297.942,,,,
42.067669,-84.240349,297.942,,,,
42.067673,-84.240341,297.97248,,,,
42.067677,-84.240341,297.97248,,,,
42.067684,-84.240341,298.00296,,,,
42.067688,-84.240334,298.00296,,,,
42.067692,-84.240334,298.03344,,,,
42.067696,-84.240334,298.06392,,,,
42.067703,-84.240334,298.0944,,,,
42.067707,-84.240334,298.06392,,,,
42.067711,-84.240334,298.0944,,,,
42.067719,-84.240334,298.12488,,,,
42.067722,-84.240326,298.12488,,,,
42.06773,-84.240326,298.15536,,,,
42.06773,-84.240326,298.15536,,,,
42.067738,-84.240326,298.18584,,,,
42.067741,-84.240326,298.21632,,,,
42.067749,-84.240326,298.2468,,,,
42.067749,-84.240326,298.2468,,,,
42.067757,-84.240326,298.2468,,,,
42.067764,-84.240326,298.27728,,,,
42.067772,-84.240326,298.27728,,,,
42.067772,-84.240326,298.30776,,,,
42.06778,-84.240326,298.30776,,,,
42.067787,-84.240326,298.30776,,,,
42.067791,-84.240326,298.30776,,,,
42.067795,-84.240318,298.27728,,,,
42.067802,-84.240318,298.2468,,,,
42.067806,-84.240318,298.30776,,,,
42.06781,-84.240318,298.30776,,,,
42.067818,-84.240318,298.30776,,,,
42.067822,-84.240318,298.33824,,,,
42.067829,-84.240318,298.33824,,,,
42.067833,-84.240318,298.36872,,,,
42.067837,-84.240311,298.3992,,,,
42.067844,-84.240311,298.42968,,,,
42.067848,-84.240311,298.46016,,,,
42.067852,-84.240303,298.46016,,,,
42.06786,-84.240303,298.49064,,,,
42.067863,-84.240295,298.52112,,,,
42.067871,-84.240295,298.5516,,,,
42.067875,-84.240288,298.5516,,,,
42.067879,-84.240288,298.58208,,,,
42.067879,-84.240288,298.58208,,,,
42.06789,-84.24028,298.61256,,,,
42.067894,-84.240273,298.64304,,,,
42.067902,-84.240273,298.64304,,,,
42.067905,-84.240273,298.64304,,,,
42.067909,-84.240273,298.67352,,,,
42.067913,-84.240265,298.67352,,,,
42.067921,-84.240265,298.704,,,,
42.067928,-84.240257,298.704,,,,
42.067928,-84.24025,298.704,,,,
42.067936,-84.24025,298.704,,,,
42.067944,-84.240242,298.73448,,,,
42.067947,-84.240242,298.76496,,,,
42.067951,-84.240234,298.76496,,,,
42.067959,-84.240234,298.76496,,,,
42.067963,-84.240234,298.79544,,,,
42.06797,-84.240227,298.79544,,,,
42.067974,-84.240227,298.79544,,,,
42.067978,-84.240219,298.79544,,,,
42.067986,-84.240211,298.79544,,,,
42.067989,-84.240211,298.79544,,,,
42.067993,-84.240204,298.79544,,,,
42.068001,-84.240204,298.79544,,,,
42.068008,-84.240196,298.79544,,,,
42.068012,-84.240196,298.79544,,,,
42.068012,-84.240196,298.79544,,,,
42.068024,-84.240189,298.76496,,,,
42.068028,-84.240189,298.76496,,,,
42.068035,-84.240181,298.76496,,,,
42.068043,-84.240181,298.76496,,,,
42.068047,-84.240173,298.76496,,,,
42.06805,-84.240173,298.76496,,,,
42.068058,-84.240173,298.76496,,,,
42.068066,-84.240166,298.76496,,,,
42.068069,-84.240166,298.76496,,,,
42.068077,-84.240158,298.79544,,,,
42.068085,-84.240158,298.79544,,,,
42.068089,-84.240158,298.79544,,,,
42.068092,-84.240158,298.79544,,,,
42.0681,-84.240158,298.76496,,,,
42.068108,-84.240158,298.79544,,,,
42.068111,-84.24015,298.76496,,,,
42.068119,-84.24015,298.76496,,,,
42.068127,-84.24015,298.76496,,,,
42.068127,-84.240143,298.76496,,,,
42.068134,-84.240143,298.76496,,,,
42.068142,-84.240143,298.76496,,,,
42.06815,-84.240135,298.76496,,,,
42.068153,-84.240135,298.76496,,,,
42.068161,-84.240135,298.76496,,,,
42.068169,-84.240135,298.76496,,,,
42.068172,-84.240128,298.76496,,,,
42.06818,-84.240128,298.76496,,,,
42.068188,-84.240128,298.76496,,,,
42.068192,-84.240128,298.76496,,,,
42.068199,-84.24012,298.79544,,,,
42.068207,-84.24012,298.79544,,,,
42.068211,-84.24012,298.79544,,,,
42.068218,-84.24012,298.79544,,,,
42.068226,-84.24012,298.82592,,,,
42.06823,-84.24012,298.82592,,,,
42.068237,-84.24012,298.82592,,,,
42.068245,-84.240112,298.82592,,,,
42.068249,-84.240112,298.8564,,,,
42.06826,-84.240112,298.8564,,,,
42.068268,-84.240112,298.88688,,,,
42.068272,-84.240105,298.91736,,,,
42.068279,-84.240105,298.94784,,,,
42.068287,-84.240105,298.97832,,,,
42.068291,-84.240105,299.0088,,,,
42.068298,-84.240097,299.03928,,,,
42.068306,-84.240097,299.06976,,,,
42.06831,-84.240097,299.06976,,,,
42.068317,-84.240089,299.10024,,,,
42.068325,-84.240089,299.13072,,,,
42.068325,-84.240089,299.13072,,,,
42.06834,-84.240089,299.1612,,,,
42.068348,-84.240082,299.1612,,,,
42.068352,-84.240082,299.1612,,,,
42.068359,-84.240082,299.1612,,,,
42.068367,-84.240074,299.1612,,,,
42.068375,-84.240074,299.1612,,,,
42.068382,-84.240074,299.1612,,,,
42.068386,-84.240074,299.1612,,,,
42.068394,-84.240074,299.1612,,,,
42.068401,-84.240074,299.1612,,,,
42.068405,-84.240074,299.1612,,,,
42.068417,-84.240067,299.1612,,,,
42.068424,-84.240067,299.1612,,,,
42.068428,-84.240067,299.13072,,,,
42.068436,-84.240059,299.1612,,,,
42.068443,-84.240059,299.1612,,,,
42.068447,-84.240059,299.13072,,,,
42.068455,-84.240051,299.13072,,,,
42.068466,-84.240051,299.13072,,,,
42.06847,-84.240044,299.13072,,,,
42.068478,-84.240044,299.13072,,,,
42.068485,-84.240044,299.13072,,,,
42.068489,-84.240036,299.10024,,,,
42.068497,-84.240036,299.10024,,,,
42.068504,-84.240036,299.06976,,,,
42.068512,-84.240036,299.03928,,,,
42.06852,-84.240036,299.03928,,,,
42.068523,-84.240028,299.03928,,,,
42.068531,-84.240028,299.0088,,,,
42.068539,-84.240021,299.0088,,,,
42.068546,-84.240021,298.97832,,,,
42.06855,-84.240021,298.97832,,,,
42.068558,-84.240013,298.97832,,,,
42.068565,-84.240013,298.97832,,,,
42.068569,-84.240006,298.94784,,,,
42.068581,-84.240006,298.94784,,,,
42.068584,-84.239998,298.94784,,,,
42.068592,-84.239998,298.94784,,,,
42.0686,-84.239998,298.94784,,,,
42.068604,-84.239998,298.94784,,,,
42.068611,-84.239998,298.94784,,,,
42.068619,-84.23999,298.91736,,,,
42.068626,-84.23999,298.91736,,,,
42.068634,-84.239983,298.91736,,,,
42.068642,-84.239983,298.91736,,,,
42.068645,-84.239975,298.91736,,,,
42.068653,-84.239975,298.91736,,,,
42.068661,-84.239975,298.88688,,,,
42.068665,-84.239967,298.88688,,,,
42.068665,-84.239967,298.88688,,,,
42.068684,-84.23996,298.8564,,,,
42.068687,-84.23996,298.8564,,,,
42.068695,-84.23996,298.8564,,,,
42.068703,-84.23996,298.8564,,,,
42.068707,-84.239952,298.8564,,,,
42.068714,-84.239952,298.8564,,,,
42.068722,-84.239944,298.8564,,,,
42.068726,-84.239944,298.8564,,,,
42.068733,-84.239937,298.8564,,,,
42.068741,-84.239937,298.8564,,,,
42.068745,-84.239929,298.8564,,,,
42.068752,-84.239929,298.8564,,,,
42.06876,-84.239922,298.82592,,,,
42.068764,-84.239922,298.82592,,,,
42.068771,-84.239922,298.79544,,,,
42.068779,-84.239922,298.79544,,,,
42.068783,-84.239914,298.79544,,,,
42.06879,-84.239914,298.76496,,,,
42.068798,-84.239906,298.76496,,,,
42.068802,-84.239906,298.76496,,,,
42.06881,-84.239906,298.73448,,,,
42.068817,-84.239899,298.73448,,,,
42.068825,-84.239899,298.73448,,,,
42.068829,-84.239891,298.704,,,,
42.068836,-84.239891,298.704,,,,
42.068844,-84.239891,298.704,,,,
42.068848,-84.239883,298.704,,,,
42.068855,-84.239883,298.704,,,,
42.068859,-84.239876,298.704,,,,
42.068863,-84.239876,298.67352,,,,
42.068871,-84.239876,298.67352,,,,
42.068878,-84.239876,298.67352,,,,
42.068882,-84.239876,298.64304,,,,
42.06889,-84.239876,298.64304,,,,
42.068893,-84.239876,298.61256,,,,
42.068901,-84.239868,298.61256,,,,
42.068905,-84.239868,298.61256,,,,
42.068909,-84.239868,298.61256,,,,
42.068916,-84.239868,298.61256,,,,
42.068924,-84.239861,298.61256,,,,
42.068924,-84.239861,298.64304,,,,
42.068932,-84.239861,298.64304,,,,
42.068935,-84.239861,298.64304,,,,
42.068943,-84.239861,298.64304,,,,
42.068947,-84.239861,298.64304,,,,
42.068951,-84.239853,298.64304,,,,
42.068958,-84.239853,298.58208,,,,
42.068962,-84.239853,298.58208,,,,
42.068966,-84.239853,298.5516,,,,
42.068966,-84.239853,298.5516,,,,
42.068977,-84.239853,298.5516,,,,
42.068981,-84.239845,298.52112,,,,
42.068985,-84.239845,298.52112,,,,
42.068989,-84.239845,298.52112,,,,
42.068996,-84.239845,298.52112,,,,
42.069,-84.239845,298.52112,,,,
42.069004,-84.239838,298.52112,,,,
42.069008,-84.239838,298.49064,,,,
42.069012,-84.239838,298.46016,,,,
42.069019,-84.239838,298.46016,,,,
42.069023,-84.239838,298.46016,,,,
42.069023,-84.239838,298.42968,,,,
42.069031,-84.23983,298.42968,,,,
42.069035,-84.23983,298.42968,,,,
42.069038,-84.23983,298.42968,,,,
42.069042,-84.239822,298.42968,,,,
42.069042,-84.239822,298.46016,,,,
42.06905,-84.239815,298.46016,,,,
42.069054,-84.239815,298.46016,,,,
42.069057,-84.239807,298.46016,,,,
42.069061,-84.239807,298.46016,,,,
42.069061,-84.2398,298.49064,,,,
42.069065,-84.2398,298.49064,,,,
42.069069,-84.2398,298.49064,,,,
42.069069,-84.2398,298.49064,,,,
42.069077,-84.2398,298.49064,,,,
42.06908,-84.2398,298.49064,,,,
42.069084,-84.239792,298.49064,,,,
42.069088,-84.239792,298.49064,,,,
42.069092,-84.239792,298.49064,,,,
42.069096,-84.239792,298.46016,,,,
42.069099,-84.239792,298.49064,,,,
42.069103,-84.239792,298.46016,,,,
42.069107,-84.239792,298.42968,,,,
42.069111,-84.239792,298.42968,,,,
42.069118,-84.239792,298.3992,,,,
42.069122,-84.239792,298.36872,,,,
42.069122,-84.239792,298.36872,,,,
42.069126,-84.239792,298.36872,,,,
42.069134,-84.239792,298.33824,,,,
42.069138,-84.239792,298.33824,,,,
42.069141,-84.239792,298.33824,,,,
42.069141,-84.239792,298.30776,,,,
42.069149,-84.239792,298.30776,,,,
42.069153,-84.2398,298.30776,,,,
42.069157,-84.2398,298.30776,,,,
42.06916,-84.2398,298.30776,,,,
42.069164,-84.2398,298.27728,,,,
42.069168,-84.2398,298.30776,,,,
42.069168,-84.2398,298.30776,,,,
42.069176,-84.2398,298.27728,,,,
42.06918,-84.2398,298.30776,,,,
42.06918,-84.239792,298.33824,,,,
42.069183,-84.239792,298.33824,,,,
42.069191,-84.239792,298.33824,,,,
42.069195,-84.239792,298.30776,,,,
42.069199,-84.239784,298.30776,,,,
42.069199,-84.239784,298.27728,,,,
42.069202,-84.239784,298.27728,,,,
42.069206,-84.239784,298.27728,,,,
42.06921,-84.239777,298.27728,,,,
42.069214,-84.239777,298.2468,,,,
42.069218,-84.239769,298.21632,,,,
42.069222,-84.239769,298.21632,,,,
42.069222,-84.239761,298.18584,,,,
42.069225,-84.239761,298.15536,,,,
42.069229,-84.239761,298.15536,,,,
42.069233,-84.239761,298.12488,,,,
42.069237,-84.239761,298.12488,,,,
42.069241,-84.239761,298.12488,,,,
42.069244,-84.239754,298.12488,,,,
42.069248,-84.239754,298.0944,,,,
42.069252,-84.239754,298.0944,,,,
42.069256,-84.239754,298.0944,,,,
42.069256,-84.239754,298.0944,,,,
42.069263,-84.239746,298.06392,,,,
42.069267,-84.239746,298.03344,,,,
42.069275,-84.239746,298.03344,,,,
42.069279,-84.239746,298.00296,,,,
42.069279,-84.239746,297.97248,,,,
