Number,Sector Length (m),Sector Radius (m),Total Length (m),Rotation (deg),Mirrored,Closed
1,5.69105712086321,55.743375240139,2083.5452071246,255,1,1
2,5.59332013753588,864.824836842733,0,0,0,0
3,5.92434769278677,53.8417613826178,0,0,0,0
4,5.69105748902503,20.4503626363532,0,0,0,0
5,5.28495824131999,386.576077728967,0,0,0,0
6,5.32434435352511,8354423.80354432,0,0,0,0
7,5.32434354128496,75.5729929609067,0,0,0,0
8,5.98251799082058,60.6334600095021,0,0,0,0
9,5.87116730015952,76.3071057818526,0,0,0,0
10,4.82771346111144,299.836059318202,0,0,0,0
11,5.15045876503903,41.9232866128421,0,0,0,0
12,6.03474522873474,61.5790952427919,0,0,0,0
13,6.0167101271286,123.446296379094,0,0,0,0
14,5.27848700524891,162.897700541933,0,0,0,0
15,5.69105626440067,47.6675807639305,0,0,0,0
16,5.91566944161106,25.4483011094708,0,0,0,0
17,5.87116395005137,77.5346872800081,0,0,0,0
18,5.17103035223708,63.5805836925742,0,0,0,0
19,5.42440873379341,51.4475274909423,0,0,0,0
20,5.70968074954114,45.5676746622144,0,0,0,0
21,5.45274849887434,41.7158300440737,0,0,0,0
22,5.58270193487424,24.7464856050288,0,0,0,0
23,5.68100755606331,26.1449171216535,0,0,0,0
24,5.70967851780446,42.6253580598572,0,0,0,0
25,5.34879604552646,38.3776783687518,0,0,0,0
26,5.69105166629791,484.484568179727,0,0,0,0
27,6.01670578748423,184.746855715919,0,0,0,0
28,5.2583267052041,45.3082784852316,0,0,0,0
29,5.45274348479828,170.386143879766,0,0,0,0
30,5.03876951651708,14.7706999142266,0,0,0,0
31,6.33154586622692,21512966.5433504,0,0,0,0
32,4.66535381475583,8.90367101381514,0,0,0,0
33,4.93962913513113,16.3657420286865,0,0,0,0
34,5.6910475377183,11.8051322718786,0,0,0,0
35,5.15044888596182,22.9561146471825,0,0,0,0
36,5.99831164487421,10.3711273217527,0,0,0,0
37,4.89715463410059,55.6734472811247,0,0,0,0
38,6.11797827138383,17.6426954390944,0,0,0,0
39,5.03204969161169,12.3384766864175,0,0,0,0
40,5.8711497627956,198.954556537755,0,0,0,0
41,6.16236856533141,123.378580806262,0,0,0,0
42,5.27847587106282,14.6882237740497,0,0,0,0
43,5.593316556502,23.264643635326,0,0,0,0
44,5.45273050922398,41.7162913904364,0,0,0,0
45,5.58269618734673,41.7167042105384,0,0,0,0
46,5.45273976697575,23.3130343419004,0,0,0,0
47,5.92434879051098,53.2563037400243,0,0,0,0
48,5.99831090456252,22.2955174072535,0,0,0,0
49,5.27847387935196,48.2062863656039,0,0,0,0
50,5.34878158016716,38.378140536177,0,0,0,0
51,5.69104969542025,484.492479920427,0,0,0,0
