Number,Sector Length (m),Sector Radius (m),Total Length (m),Rotation (deg),Mirrored,Closed
1,4.06172364258026,41.2618745068741,788.035581300416,210,0,0
2,4.23753698474703,30.763769867718,0,0,0,0
3,4.82468070006512,137.208429193311,0,0,0,0
4,3.69411369076946,20.9769338816804,0,0,0,0
5,5.60627805327297,120.418391843251,0,0,0,0
6,4.04572549735812,21.7890490208384,0,0,0,0
7,4.42005914206553,140.2818928223,0,0,0,0
8,5.1674789439512,88.4833310321429,0,0,0,0
9,4.60564979018648,52.4758206059341,0,0,0,0
10,3.98592085350404,7802672.09902011,0,0,0,0
11,4.82506380611752,40.3565001090478,0,0,0,0
12,5.27738021030724,45.4500008766805,0,0,0,0
13,4.82468842583876,29.3647456815599,0,0,0,0
14,4.6226715622718,34.4778692210622,0,0,0,0
15,4.39083110686811,360.186827794898,0,0,0,0
16,4.29296609321476,19.8786205816785,0,0,0,0
17,5.27682594253656,20.1302332707675,0,0,0,0
18,4.99412858490567,13.8097125017215,0,0,0,0
19,4.10739811547214,15.3797434964677,0,0,0,0
20,4.62267621493923,19.0071153504336,0,0,0,0
21,4.58588301833863,10.6153604973924,0,0,0,0
22,4.18749956248409,16.3173509428918,0,0,0,0
23,5.42981440802269,20.4577189386878,0,0,0,0
24,3.55738290840479,10.2215530360684,0,0,0,0
25,5.00237090289984,57.5880340825594,0,0,0,0
26,4.51887434709558,27.9230824778015,0,0,0,0
27,4.82507770278286,50.9205746046943,0,0,0,0
28,4.23755365005476,25.9037766141833,0,0,0,0
29,4.60566342129155,75.4423905781397,0,0,0,0
30,4.76729349438816,18.7712260806383,0,0,0,0
31,4.82469235710113,136.152902456232,0,0,0,0
32,4.07347478730262,9.67751001740588,0,0,0,0
33,4.84865050945575,17.6980552467359,0,0,0,0
34,4.99412985057734,28.795721029716,0,0,0,0
35,4.38643265249317,13.0515616579396,0,0,0,0
36,4.29296349222216,10.0602304757711,0,0,0,0
37,4.23754368480314,50.921020400594,0,0,0,0
38,4.82506223716516,12.5026475944442,0,0,0,0
39,5.48507851148838,33.4221793308282,0,0,0,0
40,4.00557974682621,27.7230873631913,0,0,0,0
41,4.86906934506229,29.7752531844461,0,0,0,0
42,4.30572683104634,26.6768222124306,0,0,0,0
43,5.36395942772049,31.928431256732,0,0,0,0
44,4.23754437420482,141.89733284049,0,0,0,0
45,5.0091713636663,141.902399447545,0,0,0,0
46,4.23754415067756,316.63921679189,0,0,0,0
47,5.07391373697661,31.0161328463915,0,0,0,0
48,4.60565566501367,88.4816553426617,0,0,0,0
49,5.16748923811323,62.7186689818748,0,0,0,0
50,5.00278636630082,31.6172414332551,0,0,0,0
51,4.88801441227454,135.759426172851,0,0,0,0
52,5.56534099788595,17.9501374488999,0,0,0,0
53,3.82025621383357,79.1313344455072,0,0,0,0
54,4.76728950886894,41.413346736208,0,0,0,0
55,4.237551044116,91.5970633439038,0,0,0,0
